sweep,lr,gamma,weight_decay,dropout,val_loss
0,0.001,1.0,0.0,0.0,69467.0625
0,0.001,1.0,0.0,0.05,54532.6484375
0,0.001,1.0,0.0,0.1,74958.3828125
0,0.001,1.0,0.0001,0.0,61599.546875
0,0.001,1.0,0.0001,0.05,57710.72265625
0,0.001,1.0,0.0001,0.1,68413.671875
0,0.001,0.31622776601683794,0.0,0.0,81973.5625
0,0.001,0.31622776601683794,0.0,0.05,76917.125
0,0.001,0.31622776601683794,0.0,0.1,81440.5390625
0,0.001,0.31622776601683794,0.0001,0.0,83225.109375
0,0.001,0.31622776601683794,0.0001,0.05,84610.046875
0,0.001,0.31622776601683794,0.0001,0.1,77080.96875
0,0.001,0.1,0.0,0.0,79765.3671875
0,0.001,0.1,0.0,0.05,91199.9765625
0,0.001,0.1,0.0,0.1,87911.390625
0,0.001,0.1,0.0001,0.0,77632.625
0,0.001,0.1,0.0001,0.05,78145.109375
0,0.001,0.1,0.0001,0.1,82899.4765625
0,0.0001,1.0,0.0,0.0,112909.453125
0,0.0001,1.0,0.0,0.05,122285.9296875
0,0.0001,1.0,0.0,0.1,149010.171875
0,0.0001,1.0,0.0001,0.0,121643.15625
0,0.0001,1.0,0.0001,0.05,124761.234375
0,0.0001,1.0,0.0001,0.1,112036.65625
0,0.0001,0.31622776601683794,0.0,0.0,145671.1875
0,0.0001,0.31622776601683794,0.0,0.05,147552.109375
0,0.0001,0.31622776601683794,0.0,0.1,145054.953125
0,0.0001,0.31622776601683794,0.0001,0.0,141643.78125
0,0.0001,0.31622776601683794,0.0001,0.05,149008.734375
0,0.0001,0.31622776601683794,0.0001,0.1,151393.09375
0,0.0001,0.1,0.0,0.0,184566.03125
0,0.0001,0.1,0.0,0.05,145295.4375
0,0.0001,0.1,0.0,0.1,135859.109375
0,0.0001,0.1,0.0001,0.0,144923.140625
0,0.0001,0.1,0.0001,0.05,157257.578125
0,0.0001,0.1,0.0001,0.1,138987.578125
1,0.001,1.0,0.0,0.05,80440.734375
1,0.001,1.0,0.0001,0.05,79797.2578125
1,0.001,1.0,0.0001,0.0,69325.3515625
1,0.001,1.0,0.0001,0.1,84360.7734375
1,0.001,1.0,0.0,0.0,79951.78125
1,0.001,1.0,0.0,0.1,105107.25
1,0.001,0.31622776601683794,0.0,0.05,81816.796875
1,0.001,0.31622776601683794,0.0001,0.1,113340.4765625
1,0.001,0.1,0.0001,0.0,119644.2265625
1,0.001,0.1,0.0001,0.05,104670.046875
1,0.001,0.1,0.0,0.0,113735.234375
1,0.001,0.31622776601683794,0.0,0.1,104325.9765625
1,0.001,0.31622776601683794,0.0,0.0,86318.75
1,0.001,0.1,0.0001,0.1,112186.546875
1,0.001,0.31622776601683794,0.0001,0.0,87471.640625
1,0.001,0.31622776601683794,0.0001,0.05,100005.5078125
1,0.001,0.1,0.0,0.1,118818.84375
1,0.001,0.1,0.0,0.05,112245.1484375
2,0.001,1.0,0.0001,0.0,81116.1015625
2,0.001,1.0,0.0001,0.05,133021.46875
2,0.001,1.0,0.0,0.0,80407.640625
2,0.001,1.0,0.0,0.05,104427.2890625
2,0.001,0.31622776601683794,0.0,0.05,118294.828125
2,0.001,1.0,0.0001,0.1,120120.90625
2,0.001,0.31622776601683794,0.0,0.0,111094.3515625
2,0.001,0.31622776601683794,0.0001,0.0,97169.8828125
2,0.001,0.31622776601683794,0.0001,0.05,111641.53125
3,0.001,1.0,0.0,0.05,97158.1328125
3,0.001,1.0,0.0001,0.0,78914.515625
3,0.001,1.0,0.0,0.0,98030.53125
3,0.001,0.31622776601683794,0.0001,0.0,103891.7578125
4,0.001,1.0,0.0,0.05,95024.3340446
4,0.001,1.0,0.0001,0.0,78946.600361
