step,train_loss,val_loss
0,3573573.5,3030496.5
1,3039922.25,2930784.5
2,2905196.5,2837215.5
3,2781292,2730647.25
4,2707664.75,2696160.75
5,2634261.5,2642766
6,2556311.5,2532210.5
7,2507046.5,2626685
8,2461761,2436516.75
9,2397690.5,2459767.25
10,2342375.5,2375738.5
11,2303660.25,2304112.5
12,2249837,2298638.75
13,2211314.5,2260133
14,2181765.75,2211378.25
15,2153401.25,2163303
16,2154924.5,2156596.25
17,2123764.25,2134224.75
18,2117687.75,2120609
19,2089519.5,2092527.375
20,2080597.125,2086349.625
21,2071382,2127684.75
22,2066230.125,2042358.5
23,2044715.875,2149740
24,2038164.625,2123935.25
25,2024949.125,2071712
26,2018241.875,2034160.25
27,2010949.25,2010558.25
28,2004315,2003630.625
29,1994114.5,2009427.125
30,1993347.125,1977786.125
31,1992001,2024694.875
32,1977701,1973595.5
33,1971222.625,1981430.375
34,1970394.875,2008277.375
35,1969635.5,1988122.875
36,1955622,2016620
37,1944671.25,2023072.5
38,1953077.125,2005989.75
39,1942413.625,1967280.875
40,1938900.625,1964677.5
41,1944344.5,1984025.25
42,1933219.75,1964708
43,1923956.625,1960389.25
44,1922454.75,1984720.875
45,1923049,1921549.125
46,1910516,1952241.25
47,1913752.75,1946861
48,1908759.25,1928862.125
49,1905388.125,1959791.875
50,1903890.5,1929217.25
51,1898287.125,1914683.375
52,1900638.875,1939991.75
53,1895846.5,1962374.5
54,1894669.75,1910430.125
55,1884545.5,1921781.625
56,1889059,1898256.5
57,1877922.625,1897768.125
58,1877280.75,1943536.875
59,1877255,1929187.75
60,1877519,1926804.625
61,1873763.75,1997430.625
62,1870344.25,1950979.375
63,1869717.875,2010797.5
64,1870169.125,1925117.125
65,1860980.25,1910893.625
66,1868657.375,1884719.5
67,1855139.875,2018998.125
68,1860026.375,1885476.5
69,1857540.875,1942293.75
70,1863200.25,1885510.75
71,1849689.75,1910008.25
72,1849202.25,1900191.625
73,1851558.5,1955693.75
74,1844235.75,1880168.75
75,1843970,1900029.125
76,1847452.5,1855364.5
77,1846204.875,1904680.5
78,1838247.875,1909222.125
79,1835205.25,1887014.625
80,1840542.375,1872760.5
81,1836895.75,1873384.25
82,1844709,1880432.5
83,1835944.375,1876219.75
84,1832917.5,1871080
85,1837030.375,1875505
86,1832708.25,1876134.125
87,1831960,1883984.25
88,1829896.25,1879283.125
89,1820084.75,1855646.625
90,1830143.625,1868828.5
91,1829631.875,1855732.625
92,1820549.25,1876204
93,1822932.375,1968175.625
94,1818744,1938194
95,1824127.625,1844313.25
96,1814481.375,1861748.5
97,1816664.5,1844272
98,1821352.625,1887814.75
99,1821559.25,1865873.75
