Step,train,val
0,463104.34375,308006.40625
1,242068.734375,229156.125
2,195143.421875,192306.84375
3,168139.859375,189588.75
4,145058.75,159657.078125
5,135968.546875,156544.953125
6,124374.1171875,143219.984375
7,114892.0390625,209316.484375
8,111252.4921875,128920.921875
9,105755.8359375,127410.7265625
10,97760.1015625,99364.4921875
11,88617.546875,101364.1875
12,86842.953125,97307.0390625
13,84458.890625,101412.1953125
14,83369.90625,95392.2890625
15,81727.5390625,96594.984375
16,79493.4765625,91428.4296875
17,77047.1171875,92930.0859375
18,76021.6953125,90178.5546875
19,73693.0390625,87396.2578125
20,66319.765625,77690.2265625
21,64571.1640625,75724.4296875
22,63005.66796875,73616.265625
23,62269.6796875,74008.6328125
24,61421.27734375,72729.046875
25,60610.30078125,74587.640625
26,59574.4140625,74290.2734375
27,58977.29296875,73035.5546875
28,57840.50390625,75807.296875
29,56784.5234375,75719.28125
30,53734.19921875,70513.4296875
31,52586.765625,70963.0703125
32,52152.73046875,70451.9453125
33,51830.7265625,71473.921875
34,51703.671875,69989.4296875
