Step,train,val
0,347230,246111.296875
1,210315,204507.40625
2,181482.703125,184882.15625
3,164327.078125,173429.828125
4,151772.609375,161782.46875
5,144095.453125,149281.765625
6,136729.734375,144816.078125
7,129342.8046875,136942.3125
8,124747.6171875,135250.59375
9,119890.65625,134582.90625
10,114991.1328125,126380.890625
11,111107.546875,118677.1640625
12,107074.7890625,117988.828125
13,104599.609375,125744.375
14,101688.59375,115648.9609375
15,97861.0234375,112045.3046875
16,96087.171875,116804.46875
17,94594.4140625,106554.3515625
18,91009.3984375,108880.34375
19,88846.7421875,117265.0390625
20,86984.453125,109707.6953125
21,83705.9375,112769.578125
22,82351.1640625,106396.90625
23,79818.921875,108013.734375
24,77487.0078125,106079.6328125
25,75694.265625,106146.484375
26,72574.9296875,114270.484375
27,69888.359375,105660.7109375
28,68677.3828125,109955.484375
29,66850.75,115799.65625
30,64195.125,113350.3984375
31,61030.7109375,113330.6640625
32,59482.19140625,109993.828125
33,54805.234375,112545.1171875
34,54514.47265625,113933.8203125
35,52053.3515625,113880.1640625
36,49958.9375,116251.390625
37,47490.82421875,119253.7890625
38,49508.3046875,121938.765625
39,44227.671875,122986.1484375
40,41994.19921875,119021.2578125
41,40343.2109375,123192.8203125
42,39892.86328125,122434.046875
43,36402.0078125,129211.328125
44,34249.6171875,129066.5078125
45,47961.86328125,122329.6015625
46,34980.53125,127486.359375
47,30258.306640625,130876.140625
48,28370.90234375,134284.90625
49,27177.302734375,135483.03125
50,25833.998046875,137082.578125
