Step,train_loss,val_loss,iIoU_score,IoU_score
0,2924972.5,1667728.75,1.4429469108581543,1.3272961378097534
1,1535147.375,1350602.75,1.4616413116455078,1.4169176816940308
2,1545135.875,1353170.5,1.5880773067474365,1.4989333152770996
3,1280560,1267926.625,1.5728060007095337,1.517469048500061
4,1190936.625,1178820.875,1.6392440795898438,1.5799962282180786
5,1138427.75,1203139.75,1.6018164157867432,1.5321884155273438
6,1099434.625,1085064.625,1.6531609296798706,1.6168123483657837
7,1045995.875,1018651.375,1.772182822227478,1.7273321151733398
8,1006228.375,1006914.8125,1.7715603113174438,1.714698076248169
9,996006.875,1118572,1.6880958080291748,1.6353188753128052
10,963966.875,938942.1875,1.7660938501358032,1.7291568517684937
11,927167.625,973100,1.7666149139404297,1.7268640995025635
12,927188.125,999304.3125,1.8399860858917236,1.7945195436477661
13,897105.6875,923113.8125,1.8316314220428467,1.790500521659851
14,872327.9375,917004.9375,1.8639249801635742,1.8328121900558472
15,861943.375,932564.625,1.8770859241485596,1.82345449924469
16,881603.6875,984875.5625,1.8242794275283813,1.781655192375183
17,833760.9375,902775.25,1.851825475692749,1.8211168050765991
18,821407,928726.75,1.877842664718628,1.8458967208862305
19,814322.4375,928208.125,1.908520221710205,1.8691611289978027
20,800557.875,945973.6875,1.9716397523880005,1.9223580360412598
21,809520.375,924949.125,1.973562479019165,1.9313137531280518
22,762689.375,910606.8125,1.9575623273849487,1.9225983619689941
23,739326.375,925287.375,1.9183380603790283,1.8847368955612183
24,747575.1875,890622.25,1.9580934047698975,1.9254881143569946
25,756616.125,908350.625,1.9176301956176758,1.8865472078323364
26,776850.8125,887672.0625,2.015732765197754,1.975466251373291
27,723364.8125,901607,1.973732590675354,1.9401023387908936
28,703265.375,897634,1.9777145385742188,1.9455842971801758
29,694154.3125,885930.1875,1.949429988861084,1.9238477945327759
30,717579.6875,869482.6875,1.9864399433135986,1.9601454734802246
31,690324.125,893433.75,1.9789642095565796,1.9476362466812134
32,707584.75,950073.3125,1.8949618339538574,1.8617364168167114
33,708165.5625,912044.8125,1.9857183694839478,1.9537328481674194
34,670294.875,923150.875,2.0094406604766846,1.9751054048538208
35,656932.75,911079.75,1.9955377578735352,1.9645541906356812
36,677405.875,1018959.5625,2.014829397201538,1.975920557975769
37,672678.9375,968473,1.9862693548202515,1.954233169555664
38,639559.4375,931630.9375,1.9713249206542969,1.9437733888626099
39,619306.9375,918159.25,2.012352466583252,1.9831805229187012
