Step,iou,iiou
0,1.3272961378097534,1.4429469108581543
1,1.4169176816940308,1.4616413116455078
2,1.4989333152770996,1.5880773067474365
3,1.517469048500061,1.5728060007095337
4,1.5799962282180786,1.6392440795898438
5,1.5321884155273438,1.6018164157867432
6,1.6168123483657837,1.6531609296798706
7,1.7273321151733398,1.772182822227478
8,1.714698076248169,1.7715603113174438
9,1.6353188753128052,1.6880958080291748
10,1.7291568517684937,1.7660938501358032
11,1.7268640995025635,1.7666149139404297
12,1.7945195436477661,1.8399860858917236
13,1.790500521659851,1.8316314220428467
14,1.8328121900558472,1.8639249801635742
15,1.82345449924469,1.8770859241485596
16,1.781655192375183,1.8242794275283813
17,1.8211168050765991,1.851825475692749
18,1.8458967208862305,1.877842664718628
19,1.8691611289978027,1.908520221710205
20,1.9223580360412598,1.9716397523880005
21,1.9313137531280518,1.973562479019165
22,1.9225983619689941,1.9575623273849487
23,1.8847368955612183,1.9183380603790283
24,1.9254881143569946,1.9580934047698975
25,1.8865472078323364,1.9176301956176758
26,1.975466251373291,2.015732765197754
27,1.9401023387908936,1.973732590675354
28,1.9455842971801758,1.9777145385742188
29,1.9238477945327759,1.949429988861084
30,1.9601454734802246,1.9864399433135986
31,1.9476362466812134,1.9789642095565796
32,1.8617364168167114,1.8949618339538574
33,1.9537328481674194,1.9857183694839478
34,1.9751054048538208,2.0094406604766846
35,1.9645541906356812,1.9955377578735352
36,1.975920557975769,2.014829397201538
37,1.954233169555664,1.9862693548202515
38,1.9437733888626099,1.9713249206542969
39,1.9831805229187012,2.012352466583252
