step,iou,iiou
0,4.490257263183594,5.075222492218018
1,5.153828144073486,5.657735347747803
2,5.107497215270996,5.743563652038574
3,4.964398384094238,5.460499286651611
4,5.599595069885254,6.151646137237549
5,6.008004665374756,6.597905158996582
6,6.143153667449951,6.659566402435303
7,6.099517822265625,6.572545051574707
8,6.199769020080566,6.703701019287109
9,6.242570877075195,6.758429050445557
10,6.314371109008789,6.915633201599121
11,6.382007598876953,6.787213325500488
12,6.350841999053955,6.838100433349609
13,6.5012359619140625,6.956225872039795
14,6.6561126708984375,7.211206912994385
15,6.553608417510986,7.044681072235107
16,6.385262966156006,6.949354648590088
17,6.738481044769287,7.187666893005371
18,6.731605529785156,7.234344482421875
19,6.740769386291504,7.2383856773376465
20,6.7885870933532715,7.2709126472473145
21,6.64608907699585,7.075346946716309
22,6.651347637176514,7.136223316192627
23,6.723032474517822,7.066597938537598
24,6.726329803466797,7.114699363708496
25,6.919277667999268,7.38734245300293
26,6.970011234283447,7.431249141693115
27,6.853211879730225,7.318796634674072
28,6.923055648803711,7.3052520751953125
29,6.957009792327881,7.364364147186279
30,7.049060821533203,7.482538223266602
31,6.8398284912109375,7.278660774230957
32,6.629892349243164,6.9983015060424805
33,6.887628555297852,7.280193328857422
34,6.916198253631592,7.3146467208862305
35,7.019471168518066,7.451359748840332
36,7.069642066955566,7.440812110900879
37,6.713264465332031,7.129118919372559
38,7.062183856964111,7.481932640075684
39,7.0929083824157715,7.538899898529053
