Step,train_loss,val_loss
0,4529845.5,2662905.75
1,2451513.75,2205066
2,2011081.75,1859648.625
3,1724051.375,1668676
4,1494525.25,1434719
5,1392090.75,1345787.25
6,1301672.75,1284893.875
7,1246636.625,1248371.5
8,1211317.875,1186480.75
9,1163986.375,1154435.875
10,1022798.125,1098278.125
11,996830.4375,1051449.375
12,981139.0625,1056246.875
13,956648.375,1050719.75
14,935911.9375,1054912.25
15,917144.25,1018490.3125
16,900846.625,1045722.5
17,872372.1875,1074459.5
18,850821.5625,1036799.1875
19,823656.875,1042799.0625
20,846794.3125,1008782.5
21,828350,1017231
22,811044,1017920.5
23,795009.5,1037465.75
24,778643.9375,1037755.625
25,763765.3125,1038813.3125
26,745288.375,1045831.375
27,726484.3125,1070245.875
28,708864.4375,1076731.125
29,688211.25,1109910.5
30,645403.125,1130756.375
31,633061.25,1150663.5
32,623347.6875,1161023.125
33,614417.375,1156453.375
34,605115.9375,1187850.5
35,595966,1206103.375
36,587089.5625,1209800.875
37,577616.1875,1232484.125
38,569086.125,1250777.375
39,560089.6875,1263052.5
40,542517.25,1300607.375
41,538459.0625,1312429.125
42,535090.6875,1316011.125
43,531963.9375,1327871.5
44,528683.875,1333422
45,525509.8125,1344940.125
46,522312,1348607.625
47,518903.3125,1360619
48,515830.8125,1366141.625
49,512591.21875,1367633.875
50,506744.875,1386130.625
51,505470.25,1388399.625
52,504337,1397254.375
53,503413.9375,1394443.625
54,502315.40625,1399670.5
55,501227,1408427.5
56,500162.9375,1405296.75
57,499220.625,1413975.125
58,498140.5,1418383
59,497173.6875,1419535
60,495093.375,1419039.375
61,494704.3125,1420716.375
62,494397.0625,1425547.125
63,494039.71875,1424077.25
64,493702.59375,1424216.5
65,493363,1425615.125
66,493047.40625,1426463.25
67,492694.8125,1427723.125
68,492395.46875,1427553
69,492069.65625,1431432.75
70,491383.5625,1431249.5
71,491259.4375,1431911.75
72,491165.5625,1431942
73,491050.78125,1432076.75
74,490955.5,1432761.5
75,490841.5,1433098
76,490733.8125,1432927.125
77,490639.4375,1433819.625
78,490520.28125,1434037.25
79,490435.6875,1433783.875
80,490199.46875,1434305.75
81,490164.875,1434329.375
82,490128.0625,1434424.375
83,490095.65625,1434857.875
84,490062.40625,1434980.75
85,490026.90625,1435202.625
86,489996.1875,1435266.375
87,489964.4375,1435369.625
88,489930.40625,1435474.25
89,489895.28125,1435284.125
90,489822.71875,1435472.375
91,489811.09375,1435551.375
